2003-07-02 00:00:00 {'A': 1831, 'B': 2848, 'C': 3748, 'D': 2848, 'E': 1768}
2003-07-03 00:00:00 {'A': 1835, 'B': 2831, 'C': 3749, 'D': 2853, 'E': 1771}
2003-07-04 00:00:00 {'A': 1835, 'B': 2831, 'C': 3749, 'D': 2853, 'E': 1771}
2003-07-05 00:00:00 {'A': 1835, 'B': 2831, 'C': 3749, 'D': 2853, 'E': 1771}
2003-07-06 00:00:00 {'A': 1835, 'B': 2831, 'C': 3749, 'D': 2853, 'E': 1771}
2003-07-07 00:00:00 {'A': 1819, 'B': 2858, 'C': 3746, 'D': 2874, 'E': 1771}
2003-07-08 00:00:00 {'A': 1812, 'B': 2858, 'C': 3749, 'D': 2890, 'E': 1771}
2003-07-09 00:00:00 {'A': 1811, 'B': 2841, 'C': 3749, 'D': 2899, 'E': 1783}
2003-07-10 00:00:00 {'A': 1817, 'B': 2814, 'C': 3748, 'D': 2931, 'E': 1768}
2003-07-11 00:00:00 {'A': 1814, 'B': 2833, 'C': 3740, 'D': 2931, 'E': 1769}
2003-07-12 00:00:00 {'A': 1814, 'B': 2833, 'C': 3740, 'D': 2931, 'E': 1769}
2003-07-13 00:00:00 {'A': 1814, 'B': 2833, 'C': 3740, 'D': 2931, 'E': 1769}
2003-07-14 00:00:00 {'A': 1807, 'B': 2838, 'C': 3739, 'D': 2940, 'E': 1775}
2003-07-15 00:00:00 {'A': 1806, 'B': 2828, 'C': 3739, 'D': 2969, 'E': 1764}
2003-07-16 00:00:00 {'A': 1803, 'B': 2806, 'C': 3741, 'D': 3000, 'E': 1763}
2003-07-17 00:00:00 {'A': 1814, 'B': 2790, 'C': 3738, 'D': 2995, 'E': 1762}
2003-07-18 00:00:00 {'A': 1811, 'B': 2815, 'C': 3738, 'D': 2975, 'E': 1761}
2003-07-19 00:00:00 {'A': 1811, 'B': 2815, 'C': 3738, 'D': 2975, 'E': 1761}
2003-07-20 00:00:00 {'A': 1811, 'B': 2815, 'C': 3738, 'D': 2975, 'E': 1761}
